date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
02-04-20,BEL,Europe,Belgium,1,1,,,0.086,0.086,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-05-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-06-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-07-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-08-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-09-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-10-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-11-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
02-12-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
13-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
14-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
15-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
16-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
17-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
18-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
19-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
20-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
21-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
22-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
23-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
24-02-20,BEL,Europe,Belgium,1,0,,,0.086,0,,,11.11,11632334,375.564,42658.576,114.898,4.29,25.1,31.4,81.63,0.931
