date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-26,CAN,North America,Canada,1.0,1.0,,,0.026,0.026,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-01-27,CAN,North America,Canada,1.0,0.0,,,0.026,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-01-28,CAN,North America,Canada,2.0,1.0,,,0.053,0.026,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-01-29,CAN,North America,Canada,2.0,0.0,,,0.053,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-01-30,CAN,North America,Canada,2.0,0.0,,,0.053,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-01-31,CAN,North America,Canada,4.0,2.0,,,0.105,0.053,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-01-02,CAN,North America,Canada,4.0,0.0,,,0.105,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-02-02,CAN,North America,Canada,4.0,0.0,,,0.105,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-03-02,CAN,North America,Canada,4.0,0.0,,,0.105,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-04-02,CAN,North America,Canada,4.0,0.0,,,0.105,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-05-02,CAN,North America,Canada,5.0,1.0,,,0.131,0.026,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-06-02,CAN,North America,Canada,5.0,0.0,,,0.131,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-07-02,CAN,North America,Canada,7.0,2.0,,,0.184,0.053,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
2020-08-02,CAN,North America,Canada,7.0,0.0,,,0.184,0.0,,,2.78,38067913.0,4.037,44017.591,105.599,7.37,12.0,16.6,82.43,0.929
