date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-06-01,CZE,Europe,Czechia,,,,,,,,,0.0,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-01-18,CZE,Europe,Czechia,,,,,,,,,0.0,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-01-24,CZE,Europe,Czechia,,,,,,,,,5.56,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-02-02,CZE,Europe,Czechia,,,,,,,,,16.67,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-09-02,CZE,Europe,Czechia,,,,,,,,,16.67,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-02-15,CZE,Europe,Czechia,,,,,,,,,16.67,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-02-23,CZE,Europe,Czechia,,,,,,,,,16.67,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-01-03,CZE,Europe,Czechia,3.0,3.0,,,0.28,0.28,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-02-03,CZE,Europe,Czechia,3.0,0.0,,,0.28,0.0,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-03,CZE,Europe,Czechia,5.0,2.0,,,0.466,0.186,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-04-03,CZE,Europe,Czechia,8.0,3.0,,,0.746,0.28,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-05-03,CZE,Europe,Czechia,12.0,4.0,,,1.119,0.373,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-06-03,CZE,Europe,Czechia,18.0,6.0,,,1.678,0.559,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-07-03,CZE,Europe,Czechia,19.0,1.0,,,1.772,0.093,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-08-03,CZE,Europe,Czechia,31.0,12.0,,,2.891,1.119,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-09-03,CZE,Europe,Czechia,31.0,0.0,,,2.891,0.0,,,19.44,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-10-03,CZE,Europe,Czechia,41.0,10.0,,,3.823,0.932,,,25.0,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-11-03,CZE,Europe,Czechia,91.0,50.0,,,8.485,4.662,,,47.22,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-12-03,CZE,Europe,Czechia,94.0,3.0,,,8.765,0.28,,,50.0,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-13,CZE,Europe,Czechia,141.0,47.0,,,13.147,4.382,,,57.41,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-14,CZE,Europe,Czechia,189.0,48.0,,,17.623,4.476,,,61.11,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-15,CZE,Europe,Czechia,253.0,64.0,,,23.591,5.968,,,68.52,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-16,CZE,Europe,Czechia,298.0,45.0,,,27.787,4.196,,,79.63,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-17,CZE,Europe,Czechia,396.0,98.0,,,36.925,9.138,,,79.63,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-18,CZE,Europe,Czechia,464.0,68.0,,,43.265,6.341,,,79.63,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-19,CZE,Europe,Czechia,694.0,230.0,,,64.711,21.446,,,79.63,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-20,CZE,Europe,Czechia,833.0,139.0,,,77.672,12.961,,,79.63,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
2020-03-21,CZE,Europe,Czechia,995.0,162.0,,,92.778,15.106,,,79.63,10724553.0,137.176,32605.906,227.485,6.82,30.5,38.3,79.38,0.9
