date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-24,FRA,Europe,France,2.0,2.0,,,0.03,0.03,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-25,FRA,Europe,France,3.0,1.0,,,0.044,0.015,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-26,FRA,Europe,France,3.0,0.0,,,0.044,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-27,FRA,Europe,France,3.0,0.0,,,0.044,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-28,FRA,Europe,France,4.0,1.0,,,0.059,0.015,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-29,FRA,Europe,France,5.0,1.0,,,0.074,0.015,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-30,FRA,Europe,France,5.0,0.0,,,0.074,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-31,FRA,Europe,France,5.0,0.0,,,0.074,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-01-02,FRA,Europe,France,6.0,1.0,,,0.089,0.015,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-02-02,FRA,Europe,France,6.0,0.0,,,0.089,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-03-02,FRA,Europe,France,6.0,0.0,,,0.089,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-04-02,FRA,Europe,France,6.0,0.0,,,0.089,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-05-02,FRA,Europe,France,6.0,0.0,,,0.089,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-06-02,FRA,Europe,France,6.0,0.0,,,0.089,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
2020-07-02,FRA,Europe,France,6.0,0.0,,,0.089,0.0,,,5.56,67564251.0,122.578,38605.671,86.06,4.77,30.1,35.6,82.66,0.901
