date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-27,DEU,Europe,Germany,1.0,1.0,,,0.012,0.012,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-01-28,DEU,Europe,Germany,4.0,3.0,,,0.048,0.036,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-01-29,DEU,Europe,Germany,4.0,0.0,,,0.048,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-01-30,DEU,Europe,Germany,4.0,0.0,,,0.048,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-01-31,DEU,Europe,Germany,5.0,1.0,,,0.06,0.012,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-01-02,DEU,Europe,Germany,8.0,3.0,,,0.095,0.036,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-02,DEU,Europe,Germany,10.0,2.0,,,0.119,0.024,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-03-02,DEU,Europe,Germany,12.0,2.0,,,0.143,0.024,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-04-02,DEU,Europe,Germany,12.0,0.0,,,0.143,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-05-02,DEU,Europe,Germany,12.0,0.0,,,0.143,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-06-02,DEU,Europe,Germany,12.0,0.0,,,0.143,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-07-02,DEU,Europe,Germany,13.0,1.0,,,0.155,0.012,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-08-02,DEU,Europe,Germany,13.0,0.0,,,0.155,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-09-02,DEU,Europe,Germany,14.0,1.0,,,0.167,0.012,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-10-02,DEU,Europe,Germany,14.0,0.0,,,0.167,0.0,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-11-02,DEU,Europe,Germany,16.0,2.0,,,0.191,0.024,,,5.56,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-12-02,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-13,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-14,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-15,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-16,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-17,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-18,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-19,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-20,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-21,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-22,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-23,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-24,DEU,Europe,Germany,16.0,0.0,,,0.191,0.0,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-25,DEU,Europe,Germany,17.0,1.0,,,0.203,0.012,,,11.11,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-26,DEU,Europe,Germany,27.0,10.0,,,0.322,0.119,,,16.67,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-27,DEU,Europe,Germany,46.0,19.0,,,0.548,0.226,,,16.67,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-28,DEU,Europe,Germany,48.0,2.0,,,0.572,0.024,,,19.44,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-29,DEU,Europe,Germany,79.0,31.0,,,0.942,0.369,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-01-03,DEU,Europe,Germany,130.0,51.0,,,1.549,0.608,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-02-03,DEU,Europe,Germany,159.0,29.0,,,1.895,0.346,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-03-03,DEU,Europe,Germany,196.0,37.0,,,2.336,0.441,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-04-03,DEU,Europe,Germany,262.0,66.0,,,3.123,0.787,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-05-03,DEU,Europe,Germany,482.0,220.0,,,5.745,2.622,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-06-03,DEU,Europe,Germany,670.0,188.0,,,7.986,2.241,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-07-03,DEU,Europe,Germany,799.0,129.0,,,9.523,1.538,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-08-03,DEU,Europe,Germany,1040.0,241.0,,,12.396,2.872,,,25.0,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-09-03,DEU,Europe,Germany,1176.0,136.0,2.0,2.0,14.017,1.621,0.024,0.024,28.7,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
2020-10-03,DEU,Europe,Germany,1457.0,281.0,2.0,0.0,17.366,3.349,0.024,0.0,32.87,83900471.0,237.016,45229.245,156.139,8.31,28.2,33.1,81.33,0.947
