date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-06-01,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-01-18,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-01-24,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-02,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-09-02,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-15,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-23,GRC,Europe,Greece,,,,,,,,,0.0,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-26,GRC,Europe,Greece,1.0,1.0,,,0.096,0.096,,,11.11,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-27,GRC,Europe,Greece,3.0,2.0,,,0.289,0.193,,,11.11,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-28,GRC,Europe,Greece,4.0,1.0,,,0.386,0.096,,,11.11,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-29,GRC,Europe,Greece,4.0,0.0,,,0.386,0.0,,,19.44,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-01-03,GRC,Europe,Greece,7.0,3.0,,,0.675,0.289,,,19.44,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-02-03,GRC,Europe,Greece,7.0,0.0,,,0.675,0.0,,,19.44,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-03,GRC,Europe,Greece,7.0,0.0,,,0.675,0.0,,,19.44,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-04-03,GRC,Europe,Greece,9.0,2.0,,,0.868,0.193,,,19.44,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-05-03,GRC,Europe,Greece,31.0,22.0,,,2.989,2.121,,,28.7,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-06-03,GRC,Europe,Greece,45.0,14.0,,,4.339,1.35,,,28.7,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-07-03,GRC,Europe,Greece,46.0,1.0,,,4.436,0.096,,,28.7,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-08-03,GRC,Europe,Greece,73.0,27.0,,,7.039,2.603,,,28.7,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-09-03,GRC,Europe,Greece,73.0,0.0,,,7.039,0.0,,,31.48,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-10-03,GRC,Europe,Greece,89.0,16.0,,,8.582,1.543,,,33.33,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-11-03,GRC,Europe,Greece,99.0,10.0,1.0,1.0,9.546,0.964,0.096,0.096,33.33,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-12-03,GRC,Europe,Greece,99.0,0.0,1.0,0.0,9.546,0.0,0.096,0.0,40.74,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-13,GRC,Europe,Greece,190.0,91.0,1.0,0.0,18.321,8.775,0.096,0.0,40.74,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-14,GRC,Europe,Greece,228.0,38.0,3.0,2.0,21.985,3.664,0.289,0.193,54.63,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-15,GRC,Europe,Greece,331.0,103.0,4.0,1.0,31.917,9.932,0.386,0.096,54.63,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-16,GRC,Europe,Greece,331.0,0.0,4.0,0.0,31.917,0.0,0.386,0.0,54.63,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-17,GRC,Europe,Greece,387.0,56.0,5.0,1.0,37.317,5.4,0.482,0.096,54.63,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-18,GRC,Europe,Greece,418.0,31.0,5.0,0.0,40.306,2.989,0.482,0.0,65.74,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
2020-03-19,GRC,Europe,Greece,418.0,0.0,6.0,1.0,40.306,0.0,0.579,0.096,65.74,10370747.0,83.479,24574.382,175.695,4.55,35.3,52.0,82.24,0.888
