date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-31,ITA,Europe,Italy,2.0,2.0,,,0.033,0.033,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-01-02,ITA,Europe,Italy,2.0,0.0,,,0.033,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-02,ITA,Europe,Italy,2.0,0.0,,,0.033,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-03-02,ITA,Europe,Italy,2.0,0.0,,,0.033,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-04-02,ITA,Europe,Italy,2.0,0.0,,,0.033,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-05-02,ITA,Europe,Italy,2.0,0.0,,,0.033,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-06-02,ITA,Europe,Italy,2.0,0.0,,,0.033,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-07-02,ITA,Europe,Italy,3.0,1.0,,,0.05,0.017,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-08-02,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-09-02,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-10-02,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-11-02,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-12-02,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-13,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-14,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-15,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-16,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-17,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-18,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-19,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-20,ITA,Europe,Italy,3.0,0.0,,,0.05,0.0,,,19.44,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-21,ITA,Europe,Italy,20.0,17.0,1.0,1.0,0.331,0.282,0.017,0.017,27.78,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-22,ITA,Europe,Italy,62.0,42.0,2.0,1.0,1.027,0.696,0.033,0.017,37.04,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-23,ITA,Europe,Italy,155.0,93.0,3.0,1.0,2.568,1.541,0.05,0.017,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-24,ITA,Europe,Italy,229.0,74.0,7.0,4.0,3.793,1.226,0.116,0.066,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-25,ITA,Europe,Italy,322.0,93.0,10.0,3.0,5.334,1.541,0.166,0.05,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-26,ITA,Europe,Italy,453.0,131.0,12.0,2.0,7.504,2.17,0.199,0.033,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-27,ITA,Europe,Italy,655.0,202.0,17.0,5.0,10.85,3.346,0.282,0.083,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-28,ITA,Europe,Italy,888.0,233.0,21.0,4.0,14.71,3.86,0.348,0.066,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-29,ITA,Europe,Italy,1128.0,240.0,29.0,8.0,18.686,3.976,0.48,0.133,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-01-03,ITA,Europe,Italy,1694.0,566.0,34.0,5.0,28.061,9.376,0.563,0.083,64.35,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-02-03,ITA,Europe,Italy,2036.0,342.0,52.0,18.0,33.727,5.665,0.861,0.298,69.91,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-03-03,ITA,Europe,Italy,2502.0,466.0,79.0,27.0,41.446,7.719,1.309,0.447,69.91,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-04-03,ITA,Europe,Italy,3089.0,587.0,107.0,28.0,51.17,9.724,1.772,0.464,72.69,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-05-03,ITA,Europe,Italy,3858.0,769.0,148.0,41.0,63.909,12.739,2.452,0.679,74.54,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-06-03,ITA,Europe,Italy,4636.0,778.0,197.0,49.0,76.796,12.888,3.263,0.812,74.54,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
2020-07-03,ITA,Europe,Italy,5883.0,1247.0,233.0,36.0,97.453,20.657,3.86,0.596,74.54,60367471.0,205.859,35220.084,113.151,4.78,19.8,27.8,83.51,0.892
