date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-02-27,NLD,Europe,Netherlands,1.0,1.0,,,0.058,0.058,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-02-28,NLD,Europe,Netherlands,1.0,0.0,,,0.058,0.0,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-02-29,NLD,Europe,Netherlands,6.0,5.0,,,0.349,0.291,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-01-03,NLD,Europe,Netherlands,10.0,4.0,,,0.582,0.233,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-02-03,NLD,Europe,Netherlands,18.0,8.0,,,1.048,0.466,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-03,NLD,Europe,Netherlands,24.0,6.0,,,1.398,0.349,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-04-03,NLD,Europe,Netherlands,38.0,14.0,,,2.213,0.815,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-05-03,NLD,Europe,Netherlands,82.0,44.0,,,4.775,2.562,,,5.56,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-06-03,NLD,Europe,Netherlands,128.0,46.0,1.0,1.0,7.454,2.679,0.058,0.058,11.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-07-03,NLD,Europe,Netherlands,188.0,60.0,1.0,0.0,10.947,3.494,0.058,0.0,11.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-08-03,NLD,Europe,Netherlands,265.0,77.0,3.0,2.0,15.431,4.484,0.175,0.116,11.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-09-03,NLD,Europe,Netherlands,321.0,56.0,3.0,0.0,18.692,3.261,0.175,0.0,11.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-10-03,NLD,Europe,Netherlands,382.0,61.0,4.0,1.0,22.244,3.552,0.233,0.058,20.83,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-11-03,NLD,Europe,Netherlands,503.0,121.0,5.0,1.0,29.29,7.046,0.291,0.058,20.83,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-12-03,NLD,Europe,Netherlands,503.0,0.0,5.0,0.0,29.29,0.0,0.291,0.0,45.37,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-13,NLD,Europe,Netherlands,806.0,303.0,10.0,5.0,46.934,17.644,0.582,0.291,53.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-14,NLD,Europe,Netherlands,962.0,156.0,12.0,2.0,56.018,9.084,0.699,0.116,53.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-15,NLD,Europe,Netherlands,1138.0,176.0,20.0,8.0,66.266,10.249,1.165,0.466,53.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-16,NLD,Europe,Netherlands,1416.0,278.0,24.0,4.0,82.455,16.188,1.398,0.233,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-17,NLD,Europe,Netherlands,1711.0,295.0,43.0,19.0,99.633,17.178,2.504,1.106,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-18,NLD,Europe,Netherlands,2058.0,347.0,58.0,15.0,119.839,20.206,3.377,0.873,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-19,NLD,Europe,Netherlands,2467.0,409.0,77.0,19.0,143.655,23.816,4.484,1.106,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-20,NLD,Europe,Netherlands,3003.0,536.0,107.0,30.0,174.867,31.212,6.231,1.747,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-21,NLD,Europe,Netherlands,3640.0,637.0,137.0,30.0,211.959,37.093,7.978,1.747,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-22,NLD,Europe,Netherlands,4217.0,577.0,180.0,43.0,245.559,33.599,10.482,2.504,61.11,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-23,NLD,Europe,Netherlands,4764.0,547.0,214.0,34.0,277.411,31.852,12.461,1.98,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-24,NLD,Europe,Netherlands,5580.0,816.0,277.0,63.0,324.927,47.516,16.13,3.669,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-25,NLD,Europe,Netherlands,6438.0,858.0,357.0,80.0,374.889,49.962,20.788,4.658,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-26,NLD,Europe,Netherlands,7468.0,1030.0,435.0,78.0,434.866,59.978,25.33,4.542,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-27,NLD,Europe,Netherlands,8647.0,1179.0,547.0,112.0,503.52,68.654,31.852,6.522,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-28,NLD,Europe,Netherlands,9819.0,1172.0,640.0,93.0,571.767,68.246,37.268,5.415,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-29,NLD,Europe,Netherlands,10930.0,1111.0,772.0,132.0,636.461,64.694,44.954,7.686,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-30,NLD,Europe,Netherlands,11817.0,887.0,865.0,93.0,688.111,51.651,50.369,5.415,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-03-31,NLD,Europe,Netherlands,12667.0,850.0,1040.0,175.0,737.607,49.496,60.56,10.19,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-01-04,NLD,Europe,Netherlands,13696.0,1029.0,1175.0,135.0,797.527,59.919,68.421,7.861,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
2020-02-04,NLD,Europe,Netherlands,14788.0,1092.0,1341.0,166.0,861.114,63.588,78.087,9.666,78.7,17173094.0,508.544,48472.545,109.361,5.29,24.4,27.3,82.28,0.944
