date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-02-26,NOR,Europe,Norway,1.0,1.0,,,0.183,0.183,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-02-27,NOR,Europe,Norway,1.0,0.0,,,0.183,0.0,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-02-28,NOR,Europe,Norway,6.0,5.0,,,1.098,0.915,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-02-29,NOR,Europe,Norway,15.0,9.0,,,2.744,1.647,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-01-03,NOR,Europe,Norway,19.0,4.0,,,3.476,0.732,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-02-03,NOR,Europe,Norway,25.0,6.0,,,4.574,1.098,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-03,NOR,Europe,Norway,32.0,7.0,,,5.855,1.281,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-03,NOR,Europe,Norway,56.0,24.0,,,10.246,4.391,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-03,NOR,Europe,Norway,87.0,31.0,,,15.918,5.672,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-06-03,NOR,Europe,Norway,108.0,21.0,,,19.76,3.842,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-07-03,NOR,Europe,Norway,147.0,39.0,,,26.895,7.136,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-08-03,NOR,Europe,Norway,176.0,29.0,,,32.201,5.306,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-09-03,NOR,Europe,Norway,205.0,29.0,,,37.507,5.306,,,11.11,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-10-03,NOR,Europe,Norway,400.0,195.0,,,73.185,35.678,,,20.37,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-11-03,NOR,Europe,Norway,598.0,198.0,,,109.411,36.226,,,25.93,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-12-03,NOR,Europe,Norway,702.0,104.0,,,128.439,19.028,,,40.74,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-13,NOR,Europe,Norway,996.0,294.0,,,182.23,53.791,,,40.74,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-14,NOR,Europe,Norway,1090.0,94.0,3.0,3.0,199.428,17.198,0.549,0.549,46.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-15,NOR,Europe,Norway,1221.0,131.0,3.0,0.0,223.396,23.968,0.549,0.0,51.85,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-16,NOR,Europe,Norway,1333.0,112.0,3.0,0.0,243.888,20.492,0.549,0.0,60.19,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-17,NOR,Europe,Norway,1463.0,130.0,3.0,0.0,267.673,23.785,0.549,0.0,60.19,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-18,NOR,Europe,Norway,1550.0,87.0,6.0,3.0,283.59,15.918,1.098,0.549,60.19,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-19,NOR,Europe,Norway,1746.0,196.0,7.0,1.0,319.451,35.86,1.281,0.183,62.96,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-20,NOR,Europe,Norway,1914.0,168.0,7.0,0.0,350.188,30.738,1.281,0.0,62.96,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-21,NOR,Europe,Norway,2118.0,204.0,7.0,0.0,387.513,37.324,1.281,0.0,62.96,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-22,NOR,Europe,Norway,2385.0,267.0,7.0,0.0,436.363,48.851,1.281,0.0,62.96,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-23,NOR,Europe,Norway,2621.0,236.0,10.0,3.0,479.542,43.179,1.83,0.549,62.96,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-24,NOR,Europe,Norway,2863.0,242.0,12.0,2.0,523.819,44.277,2.196,0.366,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-25,NOR,Europe,Norway,3084.0,221.0,14.0,2.0,564.253,40.435,2.561,0.366,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-26,NOR,Europe,Norway,3369.0,285.0,14.0,0.0,616.397,52.144,2.561,0.0,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-27,NOR,Europe,Norway,3755.0,386.0,19.0,5.0,687.021,70.623,3.476,0.915,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-28,NOR,Europe,Norway,4015.0,260.0,23.0,4.0,734.591,47.57,4.208,0.732,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-29,NOR,Europe,Norway,4284.0,269.0,25.0,2.0,783.807,49.217,4.574,0.366,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-30,NOR,Europe,Norway,4445.0,161.0,32.0,7.0,813.264,29.457,5.855,1.281,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-31,NOR,Europe,Norway,4641.0,196.0,39.0,7.0,849.125,35.86,7.136,1.281,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-01-04,NOR,Europe,Norway,4863.0,222.0,44.0,5.0,889.742,40.617,8.05,0.915,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-02-04,NOR,Europe,Norway,5147.0,284.0,50.0,6.0,941.703,51.961,9.148,1.098,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-04,NOR,Europe,Norway,5370.0,223.0,59.0,9.0,982.504,40.8,10.795,1.647,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-04,NOR,Europe,Norway,5550.0,180.0,62.0,3.0,1015.437,32.933,11.344,0.549,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-04,NOR,Europe,Norway,5687.0,137.0,71.0,9.0,1040.502,25.066,12.99,1.647,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-06-04,NOR,Europe,Norway,5865.0,178.0,76.0,5.0,1073.07,32.567,13.905,0.915,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-07-04,NOR,Europe,Norway,6086.0,221.0,89.0,13.0,1113.504,40.435,16.284,2.379,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-08-04,NOR,Europe,Norway,6086.0,0.0,101.0,12.0,1113.504,0.0,18.479,2.196,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-09-04,NOR,Europe,Norway,6211.0,125.0,108.0,7.0,1136.374,22.87,19.76,1.281,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-10-04,NOR,Europe,Norway,6314.0,103.0,113.0,5.0,1155.219,18.845,20.675,0.915,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-11-04,NOR,Europe,Norway,6409.0,95.0,119.0,6.0,1172.601,17.381,21.772,1.098,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-12-04,NOR,Europe,Norway,6525.0,116.0,128.0,9.0,1193.824,21.224,23.419,1.647,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-13,NOR,Europe,Norway,6603.0,78.0,134.0,6.0,1208.095,14.271,24.517,1.098,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-14,NOR,Europe,Norway,6623.0,20.0,139.0,5.0,1211.754,3.659,25.432,0.915,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-15,NOR,Europe,Norway,6740.0,117.0,150.0,11.0,1233.161,21.407,27.444,2.013,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-16,NOR,Europe,Norway,6896.0,156.0,152.0,2.0,1261.703,28.542,27.81,0.366,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-17,NOR,Europe,Norway,6937.0,41.0,161.0,9.0,1269.204,7.501,29.457,1.647,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-18,NOR,Europe,Norway,7036.0,99.0,164.0,3.0,1287.318,18.113,30.006,0.549,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-19,NOR,Europe,Norway,7078.0,42.0,165.0,1.0,1295.002,7.684,30.189,0.183,79.63,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-20,NOR,Europe,Norway,7156.0,78.0,181.0,16.0,1309.273,14.271,33.116,2.927,74.07,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-21,NOR,Europe,Norway,7191.0,35.0,182.0,1.0,1315.677,6.404,33.299,0.183,71.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-22,NOR,Europe,Norway,7338.0,147.0,187.0,5.0,1342.572,26.895,34.214,0.915,71.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-23,NOR,Europe,Norway,7401.0,63.0,194.0,7.0,1354.098,11.527,35.495,1.281,71.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-24,NOR,Europe,Norway,7463.0,62.0,199.0,5.0,1365.442,11.344,36.409,0.915,71.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-25,NOR,Europe,Norway,7499.0,36.0,201.0,2.0,1372.029,6.587,36.775,0.366,71.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-26,NOR,Europe,Norway,7527.0,28.0,201.0,0.0,1377.152,5.123,36.775,0.0,71.3,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-27,NOR,Europe,Norway,7599.0,72.0,205.0,4.0,1390.325,13.173,37.507,0.732,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-28,NOR,Europe,Norway,7660.0,61.0,206.0,1.0,1401.486,11.161,37.69,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-29,NOR,Europe,Norway,7710.0,50.0,207.0,1.0,1410.634,9.148,37.873,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-30,NOR,Europe,Norway,7738.0,28.0,210.0,3.0,1415.757,5.123,38.422,0.549,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-01-05,NOR,Europe,Norway,7783.0,45.0,210.0,0.0,1423.99,8.233,38.422,0.0,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-02-05,NOR,Europe,Norway,7809.0,26.0,211.0,1.0,1428.747,4.757,38.605,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-03-05,NOR,Europe,Norway,7847.0,38.0,211.0,0.0,1435.699,6.953,38.605,0.0,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-04-05,NOR,Europe,Norway,7904.0,57.0,214.0,3.0,1446.128,10.429,39.154,0.549,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-05,NOR,Europe,Norway,7955.0,51.0,215.0,1.0,1455.459,9.331,39.337,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-06-05,NOR,Europe,Norway,7996.0,41.0,216.0,1.0,1462.961,7.501,39.52,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-07-05,NOR,Europe,Norway,8034.0,38.0,217.0,1.0,1469.913,6.953,39.703,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-08-05,NOR,Europe,Norway,8070.0,36.0,218.0,1.0,1476.5,6.587,39.886,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-09-05,NOR,Europe,Norway,8099.0,29.0,219.0,1.0,1481.806,5.306,40.069,0.183,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-10-05,NOR,Europe,Norway,8105.0,6.0,219.0,0.0,1482.903,1.098,40.069,0.0,67.59,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-11-05,NOR,Europe,Norway,8132.0,27.0,224.0,5.0,1487.843,4.94,40.983,0.915,63.89,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-12-05,NOR,Europe,Norway,8157.0,25.0,228.0,4.0,1492.417,4.574,41.715,0.732,63.89,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-13,NOR,Europe,Norway,8175.0,18.0,229.0,1.0,1495.711,3.293,41.898,0.183,63.89,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-14,NOR,Europe,Norway,8196.0,21.0,232.0,3.0,1499.553,3.842,42.447,0.549,58.33,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-15,NOR,Europe,Norway,8219.0,23.0,232.0,0.0,1503.761,4.208,42.447,0.0,58.33,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-16,NOR,Europe,Norway,8237.0,18.0,232.0,0.0,1507.054,3.293,42.447,0.0,58.33,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-17,NOR,Europe,Norway,8249.0,12.0,232.0,0.0,1509.25,2.196,42.447,0.0,58.33,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-18,NOR,Europe,Norway,8257.0,8.0,233.0,1.0,1510.714,1.464,42.63,0.183,58.33,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
2020-05-19,NOR,Europe,Norway,8267.0,10.0,233.0,0.0,1512.543,1.83,42.63,0.0,58.33,5465629.0,14.462,64800.057,114.316,5.31,19.6,20.7,82.4,0.957
