date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-04-03,POL,Europe,Poland,1.0,1.0,,,0.026,0.026,,,11.11,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-05-03,POL,Europe,Poland,1.0,0.0,,,0.026,0.0,,,11.11,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-06-03,POL,Europe,Poland,5.0,4.0,,,0.132,0.106,,,11.11,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-07-03,POL,Europe,Poland,5.0,0.0,,,0.132,0.0,,,11.11,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-08-03,POL,Europe,Poland,11.0,6.0,,,0.291,0.159,,,11.11,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-09-03,POL,Europe,Poland,16.0,5.0,,,0.423,0.132,,,13.89,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-10-03,POL,Europe,Poland,22.0,6.0,,,0.582,0.159,,,25.0,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-11-03,POL,Europe,Poland,31.0,9.0,,,0.82,0.238,,,25.0,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-12-03,POL,Europe,Poland,49.0,18.0,1.0,1.0,1.296,0.476,0.026,0.026,41.67,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-13,POL,Europe,Poland,68.0,19.0,2.0,1.0,1.799,0.503,0.053,0.026,41.67,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-14,POL,Europe,Poland,103.0,35.0,3.0,1.0,2.725,0.926,0.079,0.026,49.07,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-15,POL,Europe,Poland,119.0,16.0,3.0,0.0,3.148,0.423,0.079,0.0,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-16,POL,Europe,Poland,177.0,58.0,4.0,1.0,4.683,1.535,0.106,0.026,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-17,POL,Europe,Poland,238.0,61.0,5.0,1.0,6.297,1.614,0.132,0.026,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-18,POL,Europe,Poland,251.0,13.0,5.0,0.0,6.641,0.344,0.132,0.0,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-19,POL,Europe,Poland,355.0,104.0,5.0,0.0,9.392,2.752,0.132,0.0,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-20,POL,Europe,Poland,425.0,70.0,5.0,0.0,11.244,1.852,0.132,0.0,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-21,POL,Europe,Poland,536.0,111.0,5.0,0.0,14.181,2.937,0.132,0.0,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-22,POL,Europe,Poland,634.0,98.0,7.0,2.0,16.774,2.593,0.185,0.053,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-23,POL,Europe,Poland,749.0,115.0,8.0,1.0,19.816,3.043,0.212,0.026,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
2020-03-24,POL,Europe,Poland,901.0,152.0,10.0,2.0,23.838,4.021,0.265,0.053,57.41,37797000.0,124.027,27216.445,227.331,5.91,23.3,33.1,78.73,0.88
