date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-06-01,PRT,Europe,Portugal,,,,,,,,,0.0,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-01-18,PRT,Europe,Portugal,,,,,,,,,0.0,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-01-24,PRT,Europe,Portugal,,,,,,,,,0.0,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-02,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-09-02,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-15,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-23,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-26,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-27,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-28,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-29,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-01-03,PRT,Europe,Portugal,,,,,,,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-03,PRT,Europe,Portugal,2.0,2.0,,,0.197,0.197,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-03,PRT,Europe,Portugal,2.0,0.0,,,0.197,0.0,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-03,PRT,Europe,Portugal,5.0,3.0,,,0.492,0.295,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-03,PRT,Europe,Portugal,8.0,3.0,,,0.787,0.295,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-06-03,PRT,Europe,Portugal,13.0,5.0,,,1.279,0.492,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-07-03,PRT,Europe,Portugal,20.0,7.0,,,1.967,0.688,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-08-03,PRT,Europe,Portugal,30.0,10.0,,,2.95,0.983,,,5.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-09-03,PRT,Europe,Portugal,30.0,0.0,,,2.95,0.0,,,27.31,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-10-03,PRT,Europe,Portugal,41.0,11.0,,,4.032,1.082,,,35.65,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-11-03,PRT,Europe,Portugal,59.0,18.0,,,5.803,1.77,,,35.65,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-12-03,PRT,Europe,Portugal,59.0,0.0,,,5.803,0.0,,,43.06,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-13,PRT,Europe,Portugal,112.0,53.0,,,11.015,5.212,,,43.06,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-14,PRT,Europe,Portugal,169.0,57.0,,,16.621,5.606,,,43.06,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-15,PRT,Europe,Portugal,245.0,76.0,,,24.095,7.474,,,53.7,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-16,PRT,Europe,Portugal,331.0,86.0,,,32.553,8.458,,,55.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-17,PRT,Europe,Portugal,448.0,117.0,1.0,1.0,44.06,11.507,0.098,0.098,55.56,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-18,PRT,Europe,Portugal,448.0,0.0,2.0,1.0,44.06,0.0,0.197,0.098,61.11,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-19,PRT,Europe,Portugal,785.0,337.0,3.0,1.0,77.204,33.143,0.295,0.098,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-20,PRT,Europe,Portugal,1020.0,235.0,6.0,3.0,100.315,23.112,0.59,0.295,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-21,PRT,Europe,Portugal,1280.0,260.0,12.0,6.0,125.886,25.571,1.18,0.59,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-22,PRT,Europe,Portugal,1600.0,320.0,14.0,2.0,157.358,31.472,1.377,0.197,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-23,PRT,Europe,Portugal,2060.0,460.0,23.0,9.0,202.598,45.24,2.262,0.885,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-24,PRT,Europe,Portugal,2362.0,302.0,33.0,10.0,232.299,29.701,3.246,0.983,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-25,PRT,Europe,Portugal,2995.0,633.0,43.0,10.0,294.554,62.255,4.229,0.983,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-26,PRT,Europe,Portugal,3544.0,549.0,60.0,17.0,348.547,53.993,5.901,1.672,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-27,PRT,Europe,Portugal,4268.0,724.0,76.0,16.0,419.751,71.204,7.474,1.574,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-28,PRT,Europe,Portugal,5170.0,902.0,100.0,24.0,508.462,88.71,9.835,2.36,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-29,PRT,Europe,Portugal,5962.0,792.0,119.0,19.0,586.354,77.892,11.703,1.869,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-30,PRT,Europe,Portugal,6408.0,446.0,140.0,21.0,630.217,43.863,13.769,2.065,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-31,PRT,Europe,Portugal,7443.0,1035.0,160.0,20.0,732.008,101.791,15.736,1.967,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-01-04,PRT,Europe,Portugal,8251.0,808.0,187.0,27.0,811.473,79.466,18.391,2.655,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-04,PRT,Europe,Portugal,9034.0,783.0,209.0,22.0,888.48,77.007,20.555,2.164,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-04,PRT,Europe,Portugal,9886.0,852.0,246.0,37.0,972.273,83.793,24.194,3.639,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-04,PRT,Europe,Portugal,10524.0,638.0,266.0,20.0,1035.02,62.746,26.161,1.967,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-04,PRT,Europe,Portugal,11278.0,754.0,295.0,29.0,1109.174,74.155,29.013,2.852,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-06-04,PRT,Europe,Portugal,11730.0,452.0,311.0,16.0,1153.628,44.454,30.586,1.574,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-07-04,PRT,Europe,Portugal,12442.0,712.0,345.0,34.0,1223.652,70.024,33.93,3.344,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-08-04,PRT,Europe,Portugal,13141.0,699.0,380.0,35.0,1292.398,68.746,37.372,3.442,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-09-04,PRT,Europe,Portugal,13956.0,815.0,409.0,29.0,1372.552,80.154,40.225,2.852,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-10-04,PRT,Europe,Portugal,15472.0,1516.0,435.0,26.0,1521.648,149.096,42.782,2.557,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-11-04,PRT,Europe,Portugal,15987.0,515.0,470.0,35.0,1572.298,50.649,46.224,3.442,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-12-04,PRT,Europe,Portugal,16585.0,598.0,504.0,34.0,1631.11,58.812,49.568,3.344,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-13,PRT,Europe,Portugal,16934.0,349.0,535.0,31.0,1665.434,34.324,52.616,3.049,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-14,PRT,Europe,Portugal,17448.0,514.0,567.0,32.0,1715.985,50.551,55.764,3.147,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-15,PRT,Europe,Portugal,18091.0,643.0,599.0,32.0,1779.223,63.238,58.911,3.147,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-16,PRT,Europe,Portugal,18841.0,750.0,629.0,30.0,1852.984,73.761,61.861,2.95,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-17,PRT,Europe,Portugal,19022.0,181.0,657.0,28.0,1870.785,17.801,64.615,2.754,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-18,PRT,Europe,Portugal,19685.0,663.0,687.0,30.0,1935.99,65.205,67.565,2.95,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-19,PRT,Europe,Portugal,20206.0,521.0,714.0,27.0,1987.23,51.24,70.221,2.655,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-20,PRT,Europe,Portugal,20863.0,657.0,735.0,21.0,2051.845,64.615,72.286,2.065,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-21,PRT,Europe,Portugal,21379.0,516.0,762.0,27.0,2102.593,50.748,74.942,2.655,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-22,PRT,Europe,Portugal,21982.0,603.0,785.0,23.0,2161.897,59.304,77.204,2.262,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-23,PRT,Europe,Portugal,22353.0,371.0,820.0,35.0,2198.384,36.487,80.646,3.442,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-24,PRT,Europe,Portugal,22797.0,444.0,854.0,34.0,2242.051,43.667,83.99,3.344,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-25,PRT,Europe,Portugal,23392.0,595.0,880.0,26.0,2300.568,58.517,86.547,2.557,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-26,PRT,Europe,Portugal,23864.0,472.0,903.0,23.0,2346.989,46.42,88.809,2.262,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-27,PRT,Europe,Portugal,24027.0,163.0,928.0,25.0,2363.019,16.031,91.267,2.459,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-28,PRT,Europe,Portugal,24322.0,295.0,948.0,20.0,2392.032,29.013,93.234,1.967,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-29,PRT,Europe,Portugal,24505.0,183.0,973.0,25.0,2410.03,17.998,95.693,2.459,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-30,PRT,Europe,Portugal,25045.0,540.0,989.0,16.0,2463.138,53.108,97.267,1.574,82.41,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-01-05,PRT,Europe,Portugal,25351.0,306.0,1007.0,18.0,2493.233,30.095,99.037,1.77,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-02-05,PRT,Europe,Portugal,25190.0,-161.0,1023.0,16.0,2477.399,-15.834,100.611,1.574,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-03-05,PRT,Europe,Portugal,25282.0,92.0,1043.0,20.0,2486.447,9.048,102.577,1.967,87.96,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-04-05,PRT,Europe,Portugal,25524.0,242.0,1063.0,20.0,2510.247,23.8,104.544,1.967,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-05,PRT,Europe,Portugal,25702.0,178.0,1074.0,11.0,2527.753,17.506,105.626,1.082,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-06-05,PRT,Europe,Portugal,26182.0,480.0,1089.0,15.0,2574.96,47.207,107.102,1.475,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-07-05,PRT,Europe,Portugal,26715.0,533.0,1105.0,16.0,2627.38,52.42,108.675,1.574,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-08-05,PRT,Europe,Portugal,27268.0,553.0,1114.0,9.0,2681.767,54.387,109.56,0.885,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-09-05,PRT,Europe,Portugal,27406.0,138.0,1126.0,12.0,2695.339,13.572,110.74,1.18,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-10-05,PRT,Europe,Portugal,27581.0,175.0,1135.0,9.0,2712.55,17.211,111.626,0.885,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-11-05,PRT,Europe,Portugal,27679.0,98.0,1144.0,9.0,2722.188,9.638,112.511,0.885,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-12-05,PRT,Europe,Portugal,27913.0,234.0,1163.0,19.0,2745.202,23.014,114.379,1.869,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-13,PRT,Europe,Portugal,28132.0,219.0,1175.0,12.0,2766.74,21.538,115.559,1.18,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-14,PRT,Europe,Portugal,28319.0,187.0,1184.0,9.0,2785.131,18.391,116.445,0.885,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-15,PRT,Europe,Portugal,28583.0,264.0,1190.0,6.0,2811.095,25.964,117.035,0.59,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-16,PRT,Europe,Portugal,28810.0,227.0,1203.0,13.0,2833.42,22.325,118.313,1.279,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-17,PRT,Europe,Portugal,29036.0,226.0,1218.0,15.0,2855.647,22.227,119.788,1.475,69.44,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-18,PRT,Europe,Portugal,29209.0,173.0,1231.0,13.0,2872.661,17.014,121.067,1.279,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-19,PRT,Europe,Portugal,29432.0,223.0,1247.0,16.0,2894.593,21.932,122.641,1.574,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-20,PRT,Europe,Portugal,29660.0,228.0,1263.0,16.0,2917.017,22.423,124.214,1.574,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-21,PRT,Europe,Portugal,29912.0,252.0,1277.0,14.0,2941.8,24.784,125.591,1.377,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-22,PRT,Europe,Portugal,30200.0,288.0,1289.0,12.0,2970.125,28.324,126.771,1.18,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-23,PRT,Europe,Portugal,30471.0,271.0,1302.0,13.0,2996.777,26.652,128.05,1.279,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-24,PRT,Europe,Portugal,30623.0,152.0,1316.0,14.0,3011.726,14.949,129.427,1.377,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-25,PRT,Europe,Portugal,30788.0,165.0,1330.0,14.0,3027.954,16.228,130.804,1.377,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-26,PRT,Europe,Portugal,31007.0,219.0,1342.0,12.0,3049.492,21.538,131.984,1.18,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-27,PRT,Europe,Portugal,31292.0,285.0,1356.0,14.0,3077.521,28.029,133.361,1.377,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-28,PRT,Europe,Portugal,31596.0,304.0,1369.0,13.0,3107.419,29.898,134.639,1.279,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-29,PRT,Europe,Portugal,31946.0,350.0,1383.0,14.0,3141.841,34.422,136.016,1.377,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
2020-05-30,PRT,Europe,Portugal,32203.0,257.0,1396.0,13.0,3167.117,25.276,137.295,1.279,65.74,10167923.0,112.371,27936.896,127.842,9.85,16.3,30.0,82.05,0.864
