date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-02-26,ROU,Europe,Romania,1.0,1.0,,,0.052,0.052,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-02-27,ROU,Europe,Romania,1.0,0.0,,,0.052,0.0,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-02-28,ROU,Europe,Romania,3.0,2.0,,,0.157,0.105,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-02-29,ROU,Europe,Romania,3.0,0.0,,,0.157,0.0,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-01-03,ROU,Europe,Romania,3.0,0.0,,,0.157,0.0,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-02-03,ROU,Europe,Romania,3.0,0.0,,,0.157,0.0,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-03,ROU,Europe,Romania,3.0,0.0,,,0.157,0.0,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-04-03,ROU,Europe,Romania,4.0,1.0,,,0.209,0.052,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-05-03,ROU,Europe,Romania,6.0,2.0,,,0.314,0.105,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-06-03,ROU,Europe,Romania,9.0,3.0,,,0.471,0.157,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-07-03,ROU,Europe,Romania,9.0,0.0,,,0.471,0.0,,,16.67,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-08-03,ROU,Europe,Romania,15.0,6.0,,,0.784,0.314,,,30.56,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-09-03,ROU,Europe,Romania,15.0,0.0,,,0.784,0.0,,,33.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-10-03,ROU,Europe,Romania,25.0,10.0,,,1.307,0.523,,,33.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-11-03,ROU,Europe,Romania,45.0,20.0,,,2.353,1.046,,,44.44,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-12-03,ROU,Europe,Romania,49.0,4.0,,,2.562,0.209,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-13,ROU,Europe,Romania,89.0,40.0,,,4.653,2.091,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-14,ROU,Europe,Romania,123.0,34.0,,,6.43,1.778,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-15,ROU,Europe,Romania,131.0,8.0,,,6.849,0.418,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-16,ROU,Europe,Romania,158.0,27.0,,,8.26,1.412,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-17,ROU,Europe,Romania,184.0,26.0,,,9.62,1.359,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-18,ROU,Europe,Romania,260.0,76.0,,,13.593,3.973,,,58.33,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-19,ROU,Europe,Romania,277.0,17.0,,,14.482,0.889,,,61.11,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-20,ROU,Europe,Romania,308.0,31.0,,,16.102,1.621,,,61.11,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-21,ROU,Europe,Romania,367.0,59.0,,,19.187,3.085,,,69.44,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-22,ROU,Europe,Romania,433.0,66.0,3.0,3.0,22.637,3.45,0.157,0.157,75.0,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-23,ROU,Europe,Romania,576.0,143.0,7.0,4.0,30.113,7.476,0.366,0.209,75.0,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-24,ROU,Europe,Romania,794.0,218.0,11.0,4.0,41.51,11.397,0.575,0.209,75.0,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-25,ROU,Europe,Romania,906.0,112.0,17.0,6.0,47.366,5.855,0.889,0.314,78.7,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-26,ROU,Europe,Romania,1029.0,123.0,23.0,6.0,53.796,6.43,1.202,0.314,78.7,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-27,ROU,Europe,Romania,1292.0,263.0,26.0,3.0,67.546,13.75,1.359,0.157,78.7,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-28,ROU,Europe,Romania,1452.0,160.0,37.0,11.0,75.911,8.365,1.934,0.575,78.7,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-29,ROU,Europe,Romania,1815.0,363.0,43.0,6.0,94.888,18.978,2.248,0.314,78.7,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-30,ROU,Europe,Romania,2109.0,294.0,65.0,22.0,110.259,15.37,3.398,1.15,81.48,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-03-31,ROU,Europe,Romania,2245.0,136.0,82.0,17.0,117.369,7.11,4.287,0.889,87.04,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
2020-01-04,ROU,Europe,Romania,2460.0,215.0,92.0,10.0,128.609,11.24,4.81,0.523,87.04,19127772.0,85.129,23313.199,370.946,9.74,22.9,37.1,76.05,0.828
