date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-31,RUS,Europe,Russia,2.0,2.0,,,0.014,0.014,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-01-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-03-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-04-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-05-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-06-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-07-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-08-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-09-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-10-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-11-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-12-02,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-13,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-14,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-15,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-16,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-17,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-18,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-19,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-20,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-21,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-22,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-23,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-24,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-25,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-26,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-27,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-28,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-29,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-01-03,RUS,Europe,Russia,2.0,0.0,,,0.014,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-02-03,RUS,Europe,Russia,3.0,1.0,,,0.021,0.007,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
2020-03-03,RUS,Europe,Russia,3.0,0.0,,,0.021,0.0,,,8.33,145912022.0,8.823,24765.954,431.297,6.18,23.4,58.3,72.58,0.824
