date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-02,ESP,Europe,Spain,1.0,1.0,,,0.021,0.021,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-03-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-04-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-05-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-06-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-07-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-08-02,ESP,Europe,Spain,1.0,0.0,,,0.021,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-09-02,ESP,Europe,Spain,2.0,1.0,,,0.043,0.021,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-10-02,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-11-02,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-12-02,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-13,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-14,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-15,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-16,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-17,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-18,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-19,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-20,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-21,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
2020-02-22,ESP,Europe,Spain,2.0,0.0,,,0.043,0.0,,,11.11,46745211.0,93.105,34272.36,99.403,7.17,27.4,31.4,83.56,0.904
