date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-02,SWE,Europe,Sweden,1.0,1.0,,,0.098,0.098,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-03-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-04-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-05-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-06-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-07-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-08-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-09-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-10-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-11-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-12-02,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-13,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-14,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-15,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-16,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-17,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-18,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-19,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-20,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-21,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-22,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-23,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
2020-02-24,SWE,Europe,Sweden,1.0,0.0,,,0.098,0.0,,,5.56,10160159.0,24.718,46949.283,133.982,4.79,18.8,18.9,82.8,0.945
