date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-22,USA,North America,United States,1.0,,,,0.003,,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-23,USA,North America,United States,1.0,0.0,,,0.003,0.0,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-24,USA,North America,United States,2.0,1.0,,,0.006,0.003,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-25,USA,North America,United States,2.0,0.0,,,0.006,0.0,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-26,USA,North America,United States,5.0,3.0,,,0.015,0.009,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-27,USA,North America,United States,5.0,0.0,,,0.015,0.0,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-28,USA,North America,United States,5.0,0.0,,,0.015,0.0,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-29,USA,North America,United States,6.0,1.0,,,0.018,0.003,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-30,USA,North America,United States,6.0,0.0,,,0.018,0.0,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-31,USA,North America,United States,8.0,2.0,,,0.024,0.006,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-01-02,USA,North America,United States,8.0,0.0,,,0.024,0.0,,,0.0,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-02-02,USA,North America,United States,8.0,0.0,,,0.024,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-03-02,USA,North America,United States,11.0,3.0,,,0.033,0.009,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-04-02,USA,North America,United States,11.0,0.0,,,0.033,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-05-02,USA,North America,United States,11.0,0.0,,,0.033,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-06-02,USA,North America,United States,12.0,1.0,,,0.036,0.003,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-07-02,USA,North America,United States,12.0,0.0,,,0.036,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-08-02,USA,North America,United States,12.0,0.0,,,0.036,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-09-02,USA,North America,United States,12.0,0.0,,,0.036,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-10-02,USA,North America,United States,12.0,0.0,,,0.036,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-11-02,USA,North America,United States,13.0,1.0,,,0.039,0.003,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-12-02,USA,North America,United States,13.0,0.0,,,0.039,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-02-13,USA,North America,United States,14.0,1.0,,,0.042,0.003,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-02-14,USA,North America,United States,14.0,0.0,,,0.042,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-02-15,USA,North America,United States,14.0,0.0,,,0.042,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
2020-02-16,USA,North America,United States,14.0,0.0,,,0.042,0.0,,,5.56,332915074.0,35.608,54225.446,151.089,10.79,19.1,24.6,78.86,0.926
