date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-03-03,UKR,Europe,Ukraine,1.0,1.0,,,0.023,0.023,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-04-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-05-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-06-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-07-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-08-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-09-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-10-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-11-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,11.11,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-12-03,UKR,Europe,Ukraine,1.0,0.0,,,0.023,0.0,,,50.0,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-03-13,UKR,Europe,Ukraine,3.0,2.0,1.0,1.0,0.069,0.046,0.023,0.023,50.0,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
2020-03-14,UKR,Europe,Ukraine,3.0,0.0,1.0,0.0,0.069,0.0,0.023,0.0,50.0,43466822.0,77.39,7894.393,539.849,7.11,13.5,47.4,72.06,0.779
