date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
2020-01-31,GBR,Europe,United Kingdom,2.0,2.0,,,0.029,0.029,,,8.33,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-01-02,GBR,Europe,United Kingdom,2.0,0.0,,,0.029,0.0,,,8.33,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-02,GBR,Europe,United Kingdom,2.0,0.0,,,0.029,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-02,GBR,Europe,United Kingdom,8.0,6.0,,,0.117,0.088,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-04-02,GBR,Europe,United Kingdom,8.0,0.0,,,0.117,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-05-02,GBR,Europe,United Kingdom,9.0,1.0,,,0.132,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-06-02,GBR,Europe,United Kingdom,9.0,0.0,,,0.132,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-07-02,GBR,Europe,United Kingdom,9.0,0.0,,,0.132,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-08-02,GBR,Europe,United Kingdom,13.0,4.0,,,0.191,0.059,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-09-02,GBR,Europe,United Kingdom,14.0,1.0,,,0.205,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-10-02,GBR,Europe,United Kingdom,14.0,0.0,,,0.205,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-11-02,GBR,Europe,United Kingdom,15.0,1.0,,,0.22,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-12-02,GBR,Europe,United Kingdom,16.0,1.0,,,0.235,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-13,GBR,Europe,United Kingdom,17.0,1.0,,,0.249,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-14,GBR,Europe,United Kingdom,18.0,1.0,,,0.264,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-15,GBR,Europe,United Kingdom,18.0,0.0,,,0.264,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-16,GBR,Europe,United Kingdom,18.0,0.0,,,0.264,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-17,GBR,Europe,United Kingdom,19.0,1.0,,,0.279,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-18,GBR,Europe,United Kingdom,19.0,0.0,,,0.279,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-19,GBR,Europe,United Kingdom,20.0,1.0,,,0.293,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-20,GBR,Europe,United Kingdom,22.0,2.0,,,0.323,0.029,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-21,GBR,Europe,United Kingdom,23.0,1.0,,,0.337,0.015,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-22,GBR,Europe,United Kingdom,23.0,0.0,,,0.337,0.0,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-23,GBR,Europe,United Kingdom,28.0,5.0,,,0.411,0.073,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-24,GBR,Europe,United Kingdom,30.0,2.0,,,0.44,0.029,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-25,GBR,Europe,United Kingdom,34.0,4.0,,,0.498,0.059,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-26,GBR,Europe,United Kingdom,37.0,3.0,,,0.542,0.044,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-27,GBR,Europe,United Kingdom,44.0,7.0,,,0.645,0.103,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-28,GBR,Europe,United Kingdom,56.0,12.0,,,0.821,0.176,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-29,GBR,Europe,United Kingdom,61.0,5.0,,,0.894,0.073,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-01-03,GBR,Europe,United Kingdom,94.0,33.0,,,1.378,0.484,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-02-03,GBR,Europe,United Kingdom,134.0,40.0,,,1.965,0.586,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-03,GBR,Europe,United Kingdom,189.0,55.0,,,2.771,0.806,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-04-03,GBR,Europe,United Kingdom,246.0,57.0,,,3.607,0.836,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-05-03,GBR,Europe,United Kingdom,295.0,49.0,,,4.325,0.718,,,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-06-03,GBR,Europe,United Kingdom,374.0,79.0,1.0,1.0,5.483,1.158,0.015,0.015,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-07-03,GBR,Europe,United Kingdom,429.0,55.0,2.0,1.0,6.29,0.806,0.029,0.015,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-08-03,GBR,Europe,United Kingdom,483.0,54.0,2.0,0.0,7.081,0.792,0.029,0.0,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-09-03,GBR,Europe,United Kingdom,630.0,147.0,3.0,1.0,9.237,2.155,0.044,0.015,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-10-03,GBR,Europe,United Kingdom,889.0,259.0,7.0,4.0,13.034,3.797,0.103,0.059,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-11-03,GBR,Europe,United Kingdom,1301.0,412.0,7.0,0.0,19.074,6.04,0.103,0.0,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-12-03,GBR,Europe,United Kingdom,1790.0,489.0,9.0,2.0,26.244,7.169,0.132,0.029,11.11,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-13,GBR,Europe,United Kingdom,2270.0,480.0,10.0,1.0,33.281,7.037,0.147,0.015,12.96,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-14,GBR,Europe,United Kingdom,2634.0,364.0,29.0,19.0,38.618,5.337,0.425,0.279,12.96,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-15,GBR,Europe,United Kingdom,3077.0,443.0,43.0,14.0,45.113,6.495,0.63,0.205,12.96,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-16,GBR,Europe,United Kingdom,3692.0,615.0,66.0,23.0,54.129,9.017,0.968,0.337,16.67,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-17,GBR,Europe,United Kingdom,4462.0,770.0,83.0,17.0,65.418,11.289,1.217,0.249,22.22,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-18,GBR,Europe,United Kingdom,5468.0,1006.0,118.0,35.0,80.168,14.749,1.73,0.513,31.48,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-19,GBR,Europe,United Kingdom,6534.0,1066.0,164.0,46.0,95.796,15.629,2.404,0.674,31.48,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
2020-03-20,GBR,Europe,United Kingdom,7792.0,1258.0,196.0,32.0,114.24,18.444,2.874,0.469,37.04,68207114.0,272.898,39753.244,122.137,4.28,20.0,24.7,81.32,0.932
