location,population,population_density,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,smokers,AirPolutioIndex,0,100,slope
Czechia,10724553,137.176,32605.906,227.485,6.82,79.38,0.9,68.8,8.80952381,392.5747961,-926.2730373,-13.18847833
France,67564251,122.578,38605.671,86.06,4.77,82.66,0.901,65.7,43.7704918,801.0311782,-1180.667372,-19.8169855
Germany,83900471,237.016,45229.245,156.139,8.31,81.33,0.947,61.3,98.05277778,-30.6729951,-226.5369896,-1.958639945
Greece,10370747,83.479,24574.382,175.695,4.55,82.24,0.888,87.3,13,7.39153087,-136.9900393,-1.443815702
Italy,60367471,205.859,35220.084,113.151,4.78,83.51,0.892,47.6,325.0754717,52.15930321,-100.9864099,-1.531457131
Netherlands,17173094,508.544,48472.545,109.361,5.29,82.28,0.944,51.7,12.97058824,-9.43062197,-120.9046497,-1.114740277
Poland,37797000,124.027,27216.445,227.331,5.91,78.73,0.88,56.4,24.17919075,154.7675247,-423.4584112,-5.782259359
Portugal,10167923,112.371,27936.896,127.842,9.85,82.05,0.864,46.3,15.65909091,190.1027803,-346.7927083,-5.368954886
Romania,19127772,85.129,23313.199,370.946,9.74,76.05,0.828,60,99.60555556,-14.36504374,-118.3743297,-1.04009286
Russia,145912022,8.823,24765.954,431.297,6.18,72.58,0.824,81.7,5.188679245,-6.78061036,-9.42134635,-0.02640736
Sweden,10160159,24.718,46949.283,133.982,4.79,82.8,0.945,37.7,14.42564103,814.1567792,-2383.113671,-31.9727045
Ukraine,43466822,77.39,7894.393,539.849,7.11,72.06,0.779,60.9,12.99337748,56.47852019,-180.4453922,-2.369239124
United Kingdom,68207114,272.898,39753.244,122.137,4.28,81.32,0.932,44.7,66.25609756,-55.861504,-63.41428473,-0.075527807
